step,updates,sps,eps,beta,score_avg100,buffer,time,loss,q_mean,td_abs,grad_norm
10000,0,7961.748412938403,1.0,0.0,120.9375,10000,1.2660877704620361,,,,
20000,0,8185.2008478113785,1.0,0.0,129.0909090909091,20000,2.477722644805908,,,,
30000,0,8355.110690220767,1.0,0.0,141.53846153846155,30000,3.6745948791503906,,,,
40000,0,8261.30460062619,1.0,0.0,142.56944444444446,40000,4.88505744934082,,,,
50000,0,8375.670938668132,1.0,0.0,142.36559139784947,50000,6.078991651535034,,,,
60000,2500,988.8763948359025,0.9670264,0.0,131.2,60000,16.191478967666626,0.007629558671196719,0.055156823564320806,0.03007613310124725,0.022924040716607124
70000,5000,1121.061481141499,0.9340264,0.0,131.95,70000,25.11159634590149,0.008494616747029796,0.07165409956127405,0.03355275316163898,0.026819647916126996
80000,7500,1100.9102455712834,0.9010264,0.0,128.35,80000,34.19598937034607,0.008109114181170298,0.08840130690485239,0.03270449226722121,0.02791457887273282
90000,10000,1091.61354632222,0.8680264,0.0,131.2,90000,43.35574007034302,0.009312513092299923,0.13856304064393044,0.03750416875816882,0.036975726573728024
100000,12500,1131.8849386610864,0.8350264000000001,0.0,129.8,100000,52.19056034088135,0.008574596360613213,0.1607948214560747,0.03487376503879205,0.03801150499843061
110000,15000,1112.5941972576727,0.8020264,0.0,146.45,110000,61.178563356399536,0.008428647319597075,0.179499259442091,0.034582269499078395,0.03971052151173353
120000,17500,1120.5615460555352,0.7690264,0.0,146.4,120000,70.10266041755676,0.008237227630579581,0.19389321610331536,0.035624212068505585,0.040241286876844244
130000,20000,1132.2841540003246,0.7360264000000001,0.0,144.7,130000,78.93436574935913,0.01014956637080104,0.23188294261693954,0.04192558334674686,0.0512341966573149
140000,22500,1124.733475050921,0.7030263999999999,0.0,146.65,140000,87.82536101341248,0.008838962929949047,0.2545470566302538,0.03789612155873329,0.04971972758881748
150000,25000,1131.1430518249808,0.6700264,0.0,147.65,150000,96.66752815246582,0.009360769416998664,0.2744763381779194,0.040121108638122675,0.051984318776521835
160000,27500,1132.2545354791375,0.6370264,0.0,155.95,160000,105.49791216850281,0.008890420112074936,0.28972034819424153,0.03858765512239188,0.05094414970371872
170000,30000,1129.713978445736,0.6040264,0.0,158.4,170000,114.34971022605896,0.008180345213622786,0.317433438450098,0.03938953517470509,0.0580179529322777
180000,32500,1129.1971475973658,0.5710264,0.0,168.25,180000,123.20555973052979,0.008986076922883512,0.3410579344630241,0.04235582801979035,0.06744044329039753
190000,35000,1121.6283858273887,0.5380264,0.0,162.6,190000,132.12116861343384,0.010305965980660404,0.348931225836277,0.04928952025249601,0.0799279234255664
200000,37500,1085.7008062206717,0.5050264,0.0,156.3,200000,141.33180928230286,0.00969042285112664,0.3706315404176712,0.04797483606263995,0.08935741662513465
210000,40000,1113.1547547437883,0.47202639999999996,0.0,156.05,210000,150.31528615951538,0.010246388561354252,0.44823226884007455,0.05330879900604486,0.11212854980491102
220000,42500,1107.8638022178015,0.43902639999999993,0.0,146.65,220000,159.34166646003723,0.009131501068040962,0.47832709923386574,0.05180365598760545,0.12006590222008526
230000,45000,1088.2312275492363,0.4060264,0.0,152.25,230000,168.53088998794556,0.009856698783987667,0.5214139449596406,0.055131633644923565,0.13038098754361271
240000,47500,1097.9661115359002,0.3730264,0.0,159.3,240000,177.63863921165466,0.010159194013249362,0.5583652396500111,0.05768494431860745,0.1545922764390707
250000,50000,1102.1331984101948,0.34002639999999995,0.0,166.9,250000,186.71195268630981,0.009457756343617802,0.6171550036966801,0.058377520544454456,0.15850696324370803
260000,52500,820.143774040604,0.30702640000000003,0.0,167.45,260000,198.9049367904663,0.012006503684679046,0.7002998647093773,0.06903415644541383,0.19808484988287092
270000,55000,1115.7273919578538,0.2740264,0.0,175.55,270000,207.8676996231079,0.011204362587304785,0.7118066343665123,0.06656519878655671,0.19685941277071833
280000,57500,1120.3293112757888,0.24102639999999997,0.0,169.0,280000,216.79364657402039,0.009779256395268021,0.7396606662869454,0.06403303185477853,0.20816842291504145
290000,60000,1123.0983485974205,0.20802640000000006,0.0,169.55,290000,225.6975862979889,0.012308889950654702,0.7851080283522606,0.0733923764154315,0.2267610091716051
300000,62500,1122.3024015958765,0.17502640000000003,0.0,174.7,300000,234.60784077644348,0.01283968886360526,0.8009336870908738,0.07475856255739927,0.24510082008317113
310000,65000,1083.1999726043098,0.1420264,0.0,174.75,310000,243.83974647521973,0.012171332148718648,0.8497946071624756,0.0750427738390863,0.23720330523326993
320000,67500,948.6016185263621,0.10902640000000008,0.0,184.15,320000,254.38157963752747,0.011414396553882399,0.8730604976415635,0.07155394864268601,0.2276380597241223
330000,70000,1055.06467412247,0.07602640000000005,0.0,192.65,330000,263.8596715927124,0.011988994958228432,0.9473461499810218,0.07768528381362558,0.2617050889506936
340000,72500,1071.4685141116788,0.04302639999999991,0.0,189.55,340000,273.193660736084,0.012407146213809029,0.9747575187683105,0.08018315052613616,0.2751662915572524
350000,75000,1054.6353546986534,0.010026399999999991,0.0,187.4,350000,282.6746072769165,0.01157888729532715,0.9790455403923989,0.07596452636644244,0.2516447905451059
360000,77500,948.5926723021743,0.010000000000000009,0.0,189.4,360000,293.21653985977173,0.012592406506300904,0.9724968439340591,0.07851024296134711,0.2632770373672247
370000,80000,932.9423237423997,0.010000000000000009,0.0,192.2,370000,303.93531608581543,0.011644807574339212,0.986945483982563,0.07880652027204632,0.27135659962892533
380000,82500,1023.2688474277912,0.010000000000000009,0.0,180.35,380000,313.70791888237,0.01317428277048748,1.05061318308115,0.08364277198910713,0.2907067948952317
390000,85000,1041.8495329069312,0.010000000000000009,0.0,175.7,390000,323.30623388290405,0.012811227190541103,1.0232098254561424,0.0821745545975864,0.30278883963823316
400000,87500,1071.9073771502115,0.010000000000000009,0.0,174.15,400000,332.63539814949036,0.011778329591033981,1.037807100713253,0.08224873073399067,0.3021440724283457
410000,90000,1055.5243053975712,0.010000000000000009,0.0,153.6,410000,342.10936284065247,0.01125354259449523,1.0607533246278762,0.08292467314749956,0.29939396888017655
420000,92500,1019.3810292600938,0.010000000000000009,0.0,164.5,420000,351.9192373752594,0.012770932158455253,1.0818620908260346,0.08672380115836859,0.32321070998907087
430000,95000,1046.2488287302554,0.010000000000000009,0.0,180.05,430000,361.4771931171417,0.01087225842755288,1.089918018579483,0.07858482146635652,0.2682300616428256
440000,97500,1121.6490822452022,0.010000000000000009,0.0,187.85,440000,370.3941581249237,0.011751047173165717,1.1201955145597458,0.08379189908504486,0.30772872183471917
450000,100000,1107.1390032902398,0.010000000000000009,0.0,176.8,450000,379.4249269962311,0.011351764284190722,1.1892055827379227,0.08299937793985009,0.31602477621287106
460000,102500,1046.917290417994,0.010000000000000009,0.0,186.65,460000,388.97677993774414,0.011217787705827504,1.232986798286438,0.08446118786931038,0.320144832842052
470000,105000,1093.7897118722346,0.010000000000000009,0.0,190.55,470000,398.1193051338196,0.012540361655410379,1.286894114613533,0.08791815128177405,0.3417724396660924
480000,107500,1079.8297555773709,0.010000000000000009,0.0,182.35,480000,407.3800241947174,0.01218376612465363,1.2727780398726463,0.0888884531520307,0.35132127422839404
490000,110000,1051.6920583998328,0.010000000000000009,0.0,181.8,490000,416.8885109424591,0.011026610584231093,1.3104953700304032,0.08311934458091855,0.31526517335325477
500000,112500,1065.9670119575092,0.010000000000000009,0.0,185.1,500000,426.26966428756714,0.010440729584079236,1.3003434693813325,0.08429059283807874,0.3308440152555704
510000,115000,851.245070813119,0.010000000000000009,0.0,189.35,500000,438.0171625614166,0.010711139793274925,1.3335605651140212,0.08370072213932872,0.3206000293791294
520000,117500,1071.7423814132355,0.010000000000000009,0.0,182.15,500000,447.34776306152344,0.011105417890357785,1.3845355033874511,0.08805271850898862,0.34516981031745675
530000,120000,1065.1021245647466,0.010000000000000009,0.0,193.9,500000,456.73653411865234,0.011863113789586351,1.4451177513599396,0.09213680913671851,0.37269869398325683
540000,122500,1057.7997760421379,0.010000000000000009,0.0,204.15,500000,466.1918113231659,0.0125120672758203,1.4774580639600754,0.09214330656453967,0.37936231508851054
550000,125000,1055.2425475563143,0.010000000000000009,0.0,212.25,500000,475.6666133403778,0.013812213324708864,1.5356559211015701,0.0980064152367413,0.3969350751489401
560000,127500,1031.255217830974,0.010000000000000009,0.0,212.55,500000,485.36353397369385,0.011757879131473602,1.508829516172409,0.09167367501184344,0.370991154871881
570000,130000,1052.600803376852,0.010000000000000009,0.0,222.0,500000,494.8638117313385,0.014334723508218303,1.616351414322853,0.10083250569179654,0.456028218716383
580000,132500,1064.7631685461395,0.010000000000000009,0.0,232.1,500000,504.255571603775,0.014168310690438375,1.6526402193307876,0.10298816479742527,0.4722460971027613
590000,135000,1059.7740495053963,0.010000000000000009,0.0,237.95,500000,513.6915452480316,0.013236969467252493,1.7101779186725616,0.09946820180863142,0.4365387588739395
600000,137500,1069.3908916630526,0.010000000000000009,0.0,248.75,500000,523.042662858963,0.013100166039075703,1.7719247651100158,0.10108206182718277,0.45403901442885397
610000,140000,1070.4466705830164,0.010000000000000009,0.0,248.6,500000,532.3845574855804,0.014723204639740289,1.8339391815662385,0.10459300793707371,0.4728771334141493
620000,142500,1035.805323115116,0.010000000000000009,0.0,247.55,500000,542.0388813018799,0.014472777137998492,1.829643103480339,0.10237067198380828,0.4681631946563721
630000,145000,1052.74309932865,0.010000000000000009,0.0,264.85,500000,551.5378749370575,0.013598548475420103,1.8691358774900437,0.10010906266048551,0.4679997710883617
640000,147500,1058.5850807260267,0.010000000000000009,0.0,265.2,500000,560.9860036373138,0.014666429131757468,1.8921764534711838,0.10348015187308192,0.46810580261051654
650000,150000,1049.6003312032294,0.010000000000000009,0.0,265.6,500000,570.5118827819824,0.013225283457431942,1.9003121376037597,0.10005110623314976,0.4740486869961023
660000,152500,1058.6275094076998,0.010000000000000009,0.0,274.55,500000,579.9580760002136,0.014581195102073253,1.9101764893531799,0.10315590329468251,0.5031211208552122
670000,155000,1060.1600240305743,0.010000000000000009,0.0,296.95,500000,589.3921446800232,0.014482512350659817,1.9544667619466782,0.10657266085967422,0.5079272782802582
680000,157500,1060.3573655998384,0.010000000000000009,0.0,296.25,500000,598.8213970661163,0.01374790251837112,1.966313555240631,0.10330640207976102,0.5061877292394638
690000,160000,1065.9961357518087,0.010000000000000009,0.0,303.7,500000,608.2022941112518,0.01642357201082632,1.9838577651977538,0.11153890594840049,0.5651405201852322
700000,162500,1072.1811947936365,0.010000000000000009,0.0,315.3,500000,617.5290758609772,0.015481771359918638,2.008855246305466,0.11033983958885074,0.5647423636913299
