step,episode,score,length,time
62344,119,145.0,467,18.314225435256958
62424,120,60.0,397,18.386155128479004
62536,121,260.0,772,18.48265266418457
62904,122,120.0,423,18.807909727096558
63720,123,155.0,508,19.550570964813232
64608,124,140.0,464,20.35804533958435
64712,125,150.0,575,20.451114892959595
65864,126,110.0,372,21.466734170913696
66248,127,155.0,510,21.805456161499023
66952,128,135.0,554,22.42789340019226
67064,129,60.0,296,22.5256290435791
67208,130,155.0,600,22.65312623977661
67952,131,180.0,703,23.30266571044922
68768,132,200.0,633,24.014542818069458
69048,133,55.0,400,24.262162685394287
69568,134,135.0,417,24.72676706314087
70320,135,105.0,423,25.42484998703003
70712,136,445.0,765,25.782228469848633
70992,137,120.0,475,26.04408621788025
71144,138,75.0,401,26.182902574539185
71304,139,135.0,532,26.327211380004883
71640,140,45.0,261,26.628047943115234
73208,141,60.0,522,28.02181386947632
74544,142,90.0,427,29.2454354763031
74848,143,120.0,519,29.521782398223877
74960,144,110.0,498,29.62585973739624
75016,145,260.0,589,29.678104400634766
75272,146,240.0,498,29.910144805908203
75360,147,105.0,467,29.9896719455719
77896,148,315.0,1143,32.27462911605835
78000,149,170.0,601,32.366154193878174
78424,150,120.0,428,32.74306917190552
78672,151,110.0,480,32.96592473983765
78928,152,125.0,498,33.19543099403381
79232,153,70.0,497,33.46654033660889
79272,154,210.0,593,33.5018208026886
81368,155,140.0,436,35.48373508453369
81568,156,320.0,778,35.67102384567261
81816,157,155.0,479,35.890084743499756
81920,158,90.0,376,35.98279118537903
82080,159,105.0,428,36.12362599372864
82656,160,140.0,531,36.63823413848877
83688,161,65.0,292,37.55081248283386
84096,162,210.0,605,37.94400715827942
84744,163,110.0,399,38.61530089378357
85776,164,110.0,392,39.58889722824097
85880,165,135.0,497,39.68733215332031
86824,166,200.0,628,40.53839588165283
87120,167,105.0,431,40.8103232383728
87408,168,210.0,668,41.06939649581909
87968,169,270.0,1094,41.57555913925171
88120,170,110.0,505,41.706321716308594
88176,171,65.0,289,41.75603485107422
88968,172,180.0,530,42.44588851928711
89952,173,135.0,524,43.31421375274658
90768,174,155.0,422,44.05657935142517
91080,175,135.0,497,44.34669327735901
91632,176,105.0,441,44.8467230796814
92072,177,180.0,515,45.232654333114624
92416,178,130.0,433,45.53220772743225
92528,179,210.0,715,45.63721776008606
92944,180,145.0,598,46.001036167144775
93728,181,115.0,474,46.69317889213562
94288,182,90.0,334,47.183655977249146
95176,183,155.0,514,47.95911383628845
95552,184,50.0,437,48.29053783416748
96584,185,255.0,729,49.195340394973755
96800,186,50.0,386,49.38281750679016
97224,187,190.0,589,49.7543888092041
97584,188,35.0,303,50.06814384460449
98000,189,255.0,700,50.43234181404114
99064,190,80.0,441,51.36482381820679
99688,191,75.0,310,51.91760587692261
99784,192,230.0,857,52.001680850982666
100000,193,75.0,304,52.19056034088135
100024,194,110.0,405,52.21741461753845
100048,195,130.0,722,52.241007566452026
100688,196,155.0,515,52.81210494041443
101800,197,135.0,477,53.87096834182739
102624,198,110.0,447,54.59145522117615
102920,199,50.0,406,54.85198426246643
103184,200,105.0,427,55.08610653877258
103704,201,95.0,459,55.54013633728027
104040,202,80.0,504,55.840617418289185
104936,203,110.0,533,56.628519773483276
105680,204,260.0,712,57.278117418289185
106040,205,120.0,532,57.59287786483765
107184,206,210.0,535,58.637014389038086
107224,207,80.0,400,58.678086280822754
108008,208,285.0,675,59.41308283805847
108696,209,240.0,691,60.02374315261841
109208,210,390.0,536,60.47376084327698
109728,211,60.0,508,60.93477153778076
109792,212,265.0,763,60.99285936355591
109944,213,210.0,490,61.12677001953125
110616,214,105.0,431,61.74803590774536
111952,215,395.0,593,62.964491844177246
112240,216,55.0,289,63.21929621696472
112960,217,100.0,406,63.854225158691406
113120,218,245.0,641,63.998008012771606
113472,219,155.0,535,64.30817413330078
113832,220,135.0,507,64.62489557266235
114336,221,195.0,707,65.0717511177063
115512,222,30.0,301,66.12001156806946
115824,223,125.0,450,66.39702844619751
115888,224,240.0,661,66.4543526172638
116384,225,45.0,366,66.8894112110138
116656,226,80.0,292,67.13571572303772
117472,227,80.0,457,67.85775923728943
117608,228,150.0,583,67.98122024536133
117648,229,290.0,714,68.01725363731384
118432,230,60.0,320,68.72155809402466
118784,231,50.0,411,69.03589797019958
119632,232,105.0,374,69.77819347381592
119824,233,65.0,296,69.94794130325317
120136,234,95.0,471,70.23504066467285
120656,235,35.0,606,70.69322204589844
121544,236,45.0,391,71.52412509918213
121752,237,135.0,520,71.70702314376831
122888,238,185.0,657,72.68934535980225
123464,239,195.0,457,73.18581891059875
123736,240,370.0,621,73.42527961730957
123848,241,115.0,401,73.52362418174744
123952,242,160.0,479,73.61563014984131
124744,243,160.0,641,74.30620670318604
125368,244,75.0,480,74.84822010993958
125424,245,55.0,461,74.8978660106659
125808,246,80.0,295,75.23210597038269
126344,247,45.0,301,75.7065064907074
127464,248,210.0,574,76.70380973815918
127696,249,45.0,371,76.90641140937805
128088,250,65.0,287,77.25062990188599
128456,251,155.0,592,77.57473278045654
129120,252,455.0,661,78.15769052505493
129280,253,105.0,369,78.29772615432739
130600,254,90.0,394,79.48756170272827
131328,255,20.0,278,80.16738295555115
131904,256,230.0,819,80.67765760421753
131984,257,305.0,822,80.74939107894897
132152,258,105.0,464,80.89487409591675
132168,259,355.0,561,80.91047620773315
133056,260,75.0,474,81.692556142807
133688,261,80.0,297,82.2479190826416
135336,262,395.0,908,83.69291543960571
136168,263,140.0,525,84.42913603782654
136200,264,105.0,506,84.4578230381012
136216,265,160.0,510,84.47287845611572
136864,266,75.0,478,85.04541993141174
136928,267,285.0,793,85.10455632209778
137576,268,50.0,488,85.6731858253479
138192,269,330.0,787,86.21665954589844
139456,270,80.0,407,87.33567643165588
140368,271,125.0,523,88.16798710823059
141184,272,55.0,376,88.9222002029419
141976,273,200.0,728,89.62486386299133
142016,274,220.0,837,89.66157650947571
142208,275,245.0,581,89.82947587966919
142712,276,280.0,725,90.26656222343445
143944,277,285.0,887,91.340567111969
144232,278,90.0,485,91.60506939888
144360,279,65.0,399,91.72116565704346
144568,280,65.0,321,91.90228605270386
145264,281,30.0,321,92.51539659500122
146432,282,70.0,530,93.53582978248596
146736,283,220.0,912,93.80592584609985
146920,284,160.0,620,93.96695518493652
147632,285,95.0,427,94.58649921417236
148736,286,120.0,523,95.55333352088928
148848,287,120.0,450,95.65659356117249
150064,288,225.0,715,96.72907710075378
150160,289,185.0,779,96.82108879089355
150320,290,45.0,450,96.95846915245056
151664,291,180.0,595,98.18056273460388
152280,292,30.0,279,98.71720767021179
153264,293,500.0,856,99.57770729064941
153600,294,255.0,748,99.87175512313843
154072,295,195.0,655,100.29022455215454
154296,296,130.0,519,100.48865103721619
154320,297,175.0,502,100.50994539260864
155048,298,505.0,791,101.1535336971283
156488,299,205.0,605,102.42097592353821
156504,300,115.0,530,102.43580389022827
156568,301,35.0,373,102.49177885055542
156744,302,100.0,437,102.64524340629578
157904,303,30.0,481,103.65750813484192
158344,304,45.0,414,104.04526948928833
160000,305,85.0,439,105.49791216850281
160264,306,265.0,745,105.74288153648376
160792,307,200.0,508,106.2216124534607
161448,308,480.0,896,106.84291625022888
161784,309,150.0,654,107.13610696792603
161808,310,105.0,490,107.15695810317993
162136,311,120.0,476,107.44694876670837
162760,312,410.0,785,107.9941942691803
164456,313,40.0,292,109.47596192359924
164776,314,215.0,566,109.75489544868469
165808,315,375.0,728,110.65359234809875
166488,316,180.0,587,111.24430084228516
166552,317,130.0,640,111.30165553092957
166560,318,90.0,599,111.31166982650757
166680,319,75.0,492,111.42942476272583
167408,320,365.0,829,112.06485295295715
167472,321,135.0,379,112.12327361106873
169480,322,75.0,261,113.89498686790466
169672,323,115.0,614,114.06437540054321
170360,324,75.0,478,114.67756366729736
170472,325,110.0,476,114.77573013305664
170696,326,20.0,405,114.98201203346252
171816,327,210.0,659,115.99620723724365
172096,328,575.0,703,116.24554777145386
172840,329,320.0,881,116.89898180961609
172984,330,115.0,288,117.02333164215088
174416,331,150.0,495,118.27005171775818
175184,332,80.0,388,118.94288206100464
175696,333,240.0,779,119.38995838165283
175856,334,330.0,775,119.53447318077087
176472,335,440.0,766,120.07345294952393
176864,336,60.0,308,120.42111659049988
177328,337,120.0,545,120.83999180793762
177328,338,165.0,691,120.83999180793762
177712,339,135.0,611,121.1774308681488
177920,340,30.0,260,121.35976886749268
178776,341,100.0,387,122.12347912788391
179032,342,210.0,483,122.34858918190002
180128,343,75.0,352,123.33119130134583
180328,344,175.0,484,123.51315689086914
182128,345,190.0,602,125.17160177230835
182176,346,265.0,666,125.21511197090149
182504,347,85.0,274,125.50496315956116
182944,348,145.0,523,125.89461731910706
183680,349,270.0,748,126.54365062713623
184192,350,30.0,254,126.99350786209106
184224,351,90.0,651,127.024493932724
184672,352,115.0,570,127.420330286026
185568,353,65.0,385,128.2023184299469
185680,354,410.0,972,128.3013424873352
186184,355,35.0,407,128.74695420265198
186280,356,135.0,521,128.8317265510559
186320,357,45.0,332,128.86713862419128
186576,358,80.0,296,129.09385323524475
186904,359,55.0,281,129.39276790618896
188616,360,35.0,383,130.8968915939331
189504,361,170.0,666,131.6843717098236
189776,362,105.0,514,131.9240276813507
189928,363,105.0,458,132.05837392807007
190208,364,145.0,505,132.31644797325134
190496,365,50.0,492,132.57243609428406
191384,366,120.0,635,133.39396452903748
192504,367,260.0,702,134.3759605884552
192872,368,65.0,389,134.6925675868988
193248,369,55.0,382,135.02204394340515
193552,370,110.0,508,135.2837781906128
193952,371,220.0,505,135.63454747200012
195192,372,270.0,824,136.72724604606628
196136,373,40.0,325,137.55511951446533
196136,374,10.0,363,137.55511951446533
196624,375,230.0,768,137.9848792552948
196840,376,20.0,363,138.17504906654358
196888,377,110.0,504,138.21953010559082
198416,378,60.0,287,139.66595315933228
198480,379,245.0,749,139.73172569274902
199192,380,75.0,384,140.5354208946228
200536,381,270.0,670,141.89646792411804
200536,382,610.0,1146,141.89646792411804
200600,383,140.0,499,141.9626100063324
200648,384,65.0,273,142.014319896698
200784,385,155.0,495,142.16153955459595
200856,386,125.0,498,142.2285807132721
202368,387,35.0,399,143.58521795272827
202872,388,65.0,294,144.0240993499756
202968,389,100.0,292,144.10812067985535
203152,390,230.0,594,144.2685945034027
203232,391,40.0,299,144.3396556377411
203928,392,95.0,418,144.94617533683777
205464,393,135.0,587,146.2952241897583
205568,394,50.0,304,146.392165184021
205720,395,90.0,358,146.52686405181885
205792,396,55.0,322,146.5898916721344
206768,397,335.0,781,147.44726991653442
207672,398,105.0,470,148.2444725036621
208592,399,245.0,705,149.0542664527893
208840,400,70.0,392,149.27208924293518
209016,401,400.0,833,149.43229794502258
209296,402,180.0,481,149.68025088310242
209448,403,105.0,459,149.813538312912
210872,404,155.0,402,151.11209678649902
211008,405,380.0,682,151.24642205238342
212136,406,35.0,392,152.28340911865234
212592,407,285.0,730,152.68831777572632
212704,408,135.0,516,152.78780436515808
212904,409,110.0,510,152.96926617622375
213248,410,120.0,496,153.28265810012817
213696,411,110.0,533,153.68318247795105
213840,412,55.0,356,153.81759977340698
214944,413,50.0,282,154.79277515411377
216088,414,210.0,496,155.81225275993347
216096,415,105.0,440,155.82161474227905
216256,416,80.0,304,155.9654142856598
216728,417,170.0,480,156.3965744972229
217120,418,140.0,486,156.74593591690063
217320,419,240.0,808,156.92391538619995
217720,420,125.0,505,157.28788042068481
218600,421,70.0,315,158.07902550697327
219328,422,120.0,407,158.72845220565796
219712,423,75.0,598,159.07460808753967
219904,424,20.0,399,159.2559461593628
220840,425,280.0,575,160.1275565624237
220864,426,70.0,285,160.15336179733276
222248,427,180.0,643,161.44512510299683
223264,428,285.0,745,162.40004873275757
224040,429,210.0,519,163.1454405784607
224888,430,405.0,508,163.93570852279663
224992,431,140.0,518,164.02915334701538
225576,432,250.0,783,164.5799765586853
226400,433,70.0,394,165.31711053848267
226480,434,180.0,531,165.38917517662048
227200,435,600.0,1187,166.03145813941956
227720,436,370.0,1003,166.49582648277283
228640,437,50.0,272,167.31290555000305
229408,438,410.0,673,167.9973361492157
229816,439,130.0,532,168.36845088005066
230592,440,185.0,702,169.07437777519226
230616,441,200.0,718,169.09813475608826
231408,442,105.0,463,169.8543725013733
231888,443,205.0,688,170.2871973514557
232560,444,165.0,492,170.8813018798828
232752,445,35.0,369,171.0524618625641
232752,446,240.0,696,171.0524618625641
233176,447,150.0,473,171.44837951660156
235408,448,125.0,601,173.49407744407654
235688,449,120.0,477,173.78743433952332
236136,450,165.0,425,174.19319534301758
236792,451,330.0,777,174.77766132354736
237232,452,160.0,562,175.16679191589355
238136,453,240.0,843,175.96870493888855
238376,454,325.0,729,176.1866011619568
238816,455,140.0,707,176.5956585407257
239200,456,105.0,385,176.93221879005432
239216,457,180.0,478,176.94767427444458
240064,458,165.0,549,177.70593667030334
241096,459,80.0,287,178.66817688941956
241376,460,100.0,520,178.93215465545654
242160,461,140.0,475,179.6187183856964
242416,462,230.0,402,179.84729504585266
242664,463,105.0,327,180.065758228302
242680,464,380.0,737,180.08229994773865
243576,465,75.0,277,180.87806344032288
243648,466,275.0,689,180.9429612159729
244056,467,85.0,372,181.31214118003845
245376,468,230.0,774,182.5149290561676
245440,469,105.0,349,182.57129383087158
245768,470,110.0,453,182.86988711357117
245904,471,85.0,284,182.9938724040985
246688,472,145.0,536,183.714741230011
247528,473,55.0,496,184.48695373535156
247552,474,65.0,274,184.51213431358337
248936,475,370.0,784,185.7558364868164
248952,476,60.0,400,185.7710189819336
249640,477,155.0,527,186.39055681228638
249760,478,60.0,281,186.50244784355164
250008,479,190.0,515,189.75821495056152
250800,480,195.0,516,190.5444095134735
251152,481,245.0,889,190.87522506713867
252336,482,55.0,293,191.95865607261658
253112,483,35.0,291,192.65478825569153
253512,484,275.0,747,193.0151629447937
253784,485,415.0,606,193.25221729278564
254112,486,125.0,546,193.57198667526245
254264,487,165.0,580,193.7051305770874
254320,488,350.0,673,193.757741689682
255224,489,110.0,511,194.58002543449402
255776,490,80.0,285,195.08204412460327
255856,491,65.0,261,195.15366411209106
256344,492,165.0,503,195.60683941841125
257160,493,110.0,364,196.34662795066833
257264,494,160.0,521,196.45028233528137
258200,495,195.0,513,197.2967083454132
258352,496,165.0,506,197.43319988250732
258928,497,30.0,386,197.94998407363892
259536,498,105.0,286,198.48909878730774
259576,499,85.0,406,198.52450251579285
261648,500,340.0,805,200.43006491661072
262104,501,365.0,793,200.82825827598572
262936,502,320.0,724,201.56958079338074
263288,503,20.0,471,201.87674736976624
263352,504,125.0,474,201.934476852417
264800,505,230.0,736,203.21425032615662
265432,506,460.0,906,203.78737831115723
265616,507,325.0,910,203.95185470581055
265992,508,150.0,488,204.28547024726868
266704,509,150.0,473,204.91726231575012
267064,510,215.0,679,205.2368516921997
267720,511,5.0,367,205.8172905445099
268296,512,160.0,620,206.32541751861572
268384,513,160.0,639,206.4153356552124
268808,514,155.0,401,206.7981927394867
268992,515,105.0,288,206.9606213569641
269680,516,110.0,463,207.58333325386047
271008,517,105.0,413,208.793696641922
271200,518,155.0,519,208.97753143310547
271512,519,50.0,393,209.26726365089417
271672,520,95.0,337,209.41032600402832
271936,521,245.0,815,209.64524507522583
272816,522,110.0,503,210.42975187301636
273304,523,170.0,628,210.85991549491882
273616,524,125.0,494,211.1358196735382
273848,525,70.0,274,211.34290957450867
274224,526,145.0,404,211.68087720870972
274864,527,160.0,460,212.252596616745
275048,528,75.0,391,212.41730976104736
277608,529,190.0,601,214.66759753227234
277728,530,185.0,487,214.77523350715637
277792,531,125.0,524,214.83224320411682
278160,532,125.0,494,215.15893721580505
279152,533,520.0,957,216.0353012084961
279480,534,225.0,579,216.3238492012024
279544,535,105.0,564,216.38678574562073
279968,536,365.0,835,216.7648446559906
281040,537,110.0,416,217.74882054328918
281104,538,60.0,370,217.8095543384552
281800,539,145.0,526,218.44323325157166
282648,540,190.0,609,219.1917188167572
283736,541,110.0,526,220.15406608581543
284176,542,155.0,630,220.54233574867249
284408,543,315.0,618,220.7448799610138
284912,544,35.0,285,221.18698859214783
285960,545,180.0,609,222.12738394737244
286160,546,165.0,642,222.303973197937
286392,547,255.0,576,222.51197504997253
287200,548,435.0,906,223.22270607948303
287976,549,105.0,532,223.9045648574829
287984,550,80.0,478,223.9125952720642
290096,551,75.0,266,225.79421758651733
290272,552,75.0,289,225.952388048172
290488,553,210.0,568,226.1455478668213
290584,554,200.0,555,226.2332203388214
290600,555,305.0,776,226.24848127365112
292664,556,95.0,301,228.13080716133118
292840,557,360.0,993,228.28457808494568
293760,558,275.0,923,229.0966374874115
294640,559,160.0,507,229.86889910697937
294888,560,135.0,540,230.08797979354858
294904,561,60.0,282,230.10346674919128
295160,562,290.0,586,230.33261489868164
296072,563,390.0,749,231.13983726501465
297344,564,450.0,1270,232.26567101478577
297992,565,155.0,646,232.8335783481598
298112,566,135.0,405,232.93890857696533
298288,567,245.0,568,233.0945656299591
298352,568,155.0,466,233.1524317264557
298800,569,120.0,457,233.54783630371094
299136,570,185.0,531,233.84774518013
300920,571,210.0,608,235.4504315853119
301368,572,155.0,409,235.87574124336243
301824,573,110.0,481,236.28175473213196
303016,574,155.0,487,237.32866430282593
303016,575,410.0,711,237.32866430282593
303496,576,250.0,645,237.75243520736694
303784,577,225.0,625,238.00378561019897
304008,578,110.0,332,238.2042772769928
304384,579,110.0,435,238.5366952419281
304632,580,270.0,795,238.75354194641113
304920,581,110.0,389,239.0163698196411
305768,582,120.0,286,239.77147579193115
305864,583,40.0,358,239.85618448257446
307872,584,115.0,513,241.878000497818
308480,585,150.0,483,242.43560361862183
308664,586,190.0,708,242.60256385803223
308984,587,110.0,510,242.89001202583313
309392,588,195.0,675,243.26586174964905
309504,589,125.0,457,243.37451076507568
310296,590,510.0,741,244.1218228340149
311560,591,105.0,364,245.72627568244934
312592,592,405.0,855,246.91975235939026
313752,593,340.0,737,248.20406293869019
314416,594,180.0,616,248.85034704208374
314632,595,180.0,657,249.09455037117004
315688,596,415.0,903,250.20438742637634
315944,597,295.0,708,250.45991897583008
316232,598,190.0,908,250.73961687088013
316520,599,110.0,493,251.00168633460999
317088,600,320.0,693,251.60741019248962
317544,601,175.0,476,252.09470510482788
317840,602,75.0,271,252.37724566459656
318288,603,210.0,486,252.81534361839294
318816,604,110.0,289,253.30245685577393
319304,605,110.0,422,253.74845623970032
319440,606,230.0,603,253.8747992515564
320512,607,110.0,430,254.84997177124023
321040,608,210.0,603,255.34278869628906
322312,609,180.0,505,256.6797790527344
322520,610,165.0,404,256.9094126224518
322640,611,200.0,602,257.04163908958435
323816,612,395.0,627,258.1871860027313
324192,613,140.0,462,258.5223047733307
324960,614,210.0,492,259.2212393283844
325112,615,265.0,948,259.35527181625366
326200,616,125.0,462,260.4399137496948
326272,617,300.0,856,260.50439858436584
327384,618,210.0,636,261.49527764320374
327464,619,210.0,605,261.5671148300171
327680,620,115.0,485,261.7582883834839
329112,621,155.0,366,263.0234577655792
329192,622,155.0,512,263.0979585647583
330208,623,155.0,494,264.06001925468445
330632,624,195.0,711,264.4608705043793
330744,625,195.0,821,264.59313106536865
331072,626,105.0,453,264.95322155952454
331448,627,110.0,473,265.2987480163574
332080,628,155.0,373,265.85781931877136
332280,629,230.0,614,266.03318095207214
332392,630,105.0,402,266.1316273212433
333368,631,110.0,344,266.9972188472748
333744,632,140.0,444,267.3278896808624
334544,633,120.0,477,268.03509759902954
335456,634,115.0,503,268.8418459892273
335856,635,130.0,449,269.19606614112854
336736,636,105.0,423,270.0051336288452
336928,637,185.0,608,270.1968050003052
337584,638,210.0,651,270.78917956352234
337640,639,175.0,389,270.83940410614014
337832,640,245.0,847,271.01898097991943
339640,641,105.0,475,272.8081519603729
340728,642,80.0,388,273.97089409828186
341424,643,300.0,748,274.6353499889374
341480,644,155.0,595,274.6842460632324
341944,645,400.0,1027,275.1357626914978
342400,646,170.0,604,275.5528516769409
342464,647,135.0,694,275.6096022129059
342696,648,155.0,610,275.82399320602417
343704,649,110.0,510,276.76008319854736
344448,650,110.0,315,277.4379301071167
345096,651,110.0,461,278.0235323905945
345848,652,280.0,642,278.71098351478577
346176,653,215.0,474,279.0099501609802
346352,654,210.0,488,279.18592643737793
346384,655,135.0,463,279.2229220867157
346608,656,185.0,365,279.45922207832336
347848,657,135.0,427,280.598007440567
348384,658,195.0,865,281.0809280872345
349544,659,105.0,369,282.17348408699036
349912,660,215.0,604,282.58842396736145
351288,661,270.0,619,283.97855377197266
351304,662,240.0,643,283.9946451187134
352808,663,290.0,872,285.6664173603058
352896,664,205.0,566,285.7697832584381
352984,665,55.0,432,285.87754225730896
353696,666,375.0,732,286.669748544693
353848,667,395.0,935,286.8417501449585
354224,668,135.0,369,287.3832621574402
355088,669,390.0,649,288.44228625297546
356520,670,160.0,654,289.77180671691895
356544,671,140.0,447,289.7947907447815
356760,672,120.0,366,290.05051445961
356784,673,135.0,499,290.0748805999756
357472,674,135.0,408,290.7996687889099
358800,675,380.0,740,292.131653547287
361048,676,80.0,283,294.3899154663086
361296,677,110.0,480,294.7300179004669
361472,678,600.0,800,294.9747130870819
361736,679,215.0,651,295.31017565727234
361928,680,450.0,1031,295.5716209411621
362152,681,195.0,676,295.84715700149536
363312,682,325.0,818,297.2554783821106
364256,683,55.0,372,298.39299154281616
365560,684,160.0,566,299.64354968070984
365640,685,235.0,1142,299.7200129032135
365640,686,105.0,523,299.7200129032135
366144,687,110.0,501,300.2203369140625
367848,688,205.0,766,301.8561565876007
367888,689,190.0,747,301.8949248790741
368024,690,135.0,473,302.0235130786896
369784,691,90.0,530,303.7059602737427
369832,692,160.0,463,303.75325083732605
370536,693,390.0,905,304.46386075019836
370936,694,50.0,388,304.86684942245483
371120,695,375.0,687,305.0517349243164
371856,696,290.0,779,305.7664546966553
371968,697,130.0,495,305.8870804309845
373032,698,110.0,408,307.00514554977417
373168,699,110.0,419,307.1410655975342
373328,700,75.0,278,307.30055713653564
373680,701,210.0,726,307.6605808734894
373816,702,135.0,412,307.7975752353668
374160,703,105.0,405,308.1400775909424
374560,704,125.0,340,308.5304911136627
374608,705,110.0,332,308.58037662506104
375728,706,75.0,339,309.69354033470154
375776,707,75.0,264,309.7454822063446
376424,708,80.0,285,310.38723063468933
376704,709,120.0,363,310.64876413345337
376952,710,105.0,295,310.8808846473694
377752,711,95.0,401,311.62142634391785
378264,712,175.0,619,312.08650851249695
378456,713,50.0,256,312.26775336265564
378752,714,85.0,380,312.5505142211914
378904,715,110.0,393,312.6968822479248
379448,716,570.0,787,313.1928105354309
380424,717,75.0,272,314.11459708213806
380856,718,110.0,490,314.53169465065
381056,719,135.0,546,314.7318651676178
381488,720,120.0,381,315.1824598312378
381824,721,175.0,511,315.5384373664856
382312,722,130.0,360,316.0155303478241
382624,723,140.0,467,316.3014008998871
382696,724,105.0,495,316.36909675598145
383704,725,20.0,237,317.34272146224976
383744,726,180.0,417,317.3819797039032
384072,727,85.0,404,317.68954610824585
384448,728,105.0,269,318.0419623851776
384728,729,165.0,461,318.29838156700134
385648,730,170.0,522,319.1604471206665
386056,731,110.0,431,319.54589080810547
386984,732,55.0,284,320.4139053821564
386984,733,155.0,407,320.4139053821564
387880,734,120.0,431,321.2347252368927
